,trip_date,time_indicator,trips,Day,Weekday ,Holiday ,Month,Season
1251,7/3/19,AM Period,12596,THURSDAY,WEEKDAY,0,3,Spring
61,8/3/19,PM Period,20976,FRIDAY,WEEKDAY,0,3,Spring
210,8/3/19,Night,11157,FRIDAY,WEEKDAY,0,3,Spring
1347,8/3/19,AM Period,11059,FRIDAY,WEEKDAY,0,3,Spring
1418,8/3/19,Lunch Period,11063,FRIDAY,WEEKDAY,0,3,Spring
0,9/3/19,AM Period,3658,SATURDAY,WEEKEND,0,3,Spring
990,9/3/19,Night,12421,SATURDAY,WEEKEND,0,3,Spring
1052,9/3/19,Lunch Period,5398,SATURDAY,WEEKEND,0,3,Spring
1104,9/3/19,PM Period,12143,SATURDAY,WEEKEND,0,3,Spring
114,10/3/19,Lunch Period,4535,SUNDAY,WEEKEND,0,3,Spring
663,10/3/19,PM Period,8461,SUNDAY,WEEKEND,0,3,Spring
822,10/3/19,Night,10736,SUNDAY,WEEKEND,0,3,Spring
991,10/3/19,AM Period,3816,SUNDAY,WEEKEND,0,3,Spring
476,11/3/19,AM Period,11506,MONDAY,WEEKDAY,0,3,Spring
1105,11/3/19,Night,8039,MONDAY,WEEKDAY,0,3,Spring
1153,11/3/19,PM Period,18400,MONDAY,WEEKDAY,0,3,Spring
1415,11/3/19,Lunch Period,9834,MONDAY,WEEKDAY,0,3,Spring
524,12/3/19,AM Period,11894,TUESDAY,WEEKDAY,0,3,Spring
537,12/3/19,Lunch Period,10508,TUESDAY,WEEKDAY,0,3,Spring
1147,12/3/19,Night,9035,TUESDAY,WEEKDAY,0,3,Spring
1250,12/3/19,PM Period,20199,TUESDAY,WEEKDAY,0,3,Spring
371,13/3/19,AM Period,12951,WEDNESDAY,WEEKDAY,0,3,Spring
783,13/3/19,Lunch Period,11809,WEDNESDAY,WEEKDAY,0,3,Spring
1040,13/3/19,Night,9967,WEDNESDAY,WEEKDAY,0,3,Spring
1097,13/3/19,PM Period,20313,WEDNESDAY,WEEKDAY,0,3,Spring
432,14/3/19,Lunch Period,13421,THURSDAY,WEEKDAY,0,3,Spring
434,14/3/19,AM Period,12533,THURSDAY,WEEKDAY,0,3,Spring
525,14/3/19,Night,12487,THURSDAY,WEEKDAY,0,3,Spring
630,14/3/19,PM Period,22818,THURSDAY,WEEKDAY,0,3,Spring
66,15/3/19,PM Period,24644,FRIDAY,WEEKDAY,0,3,Spring
323,15/3/19,AM Period,12607,FRIDAY,WEEKDAY,0,3,Spring
998,15/3/19,Lunch Period,13626,FRIDAY,WEEKDAY,0,3,Spring
1099,15/3/19,Night,13746,FRIDAY,WEEKDAY,0,3,Spring
326,16/3/19,Night,20181,SATURDAY,WEEKEND,0,3,Spring
768,16/3/19,PM Period,22531,SATURDAY,WEEKEND,0,3,Spring
1054,16/3/19,AM Period,6621,SATURDAY,WEEKEND,0,3,Spring
1355,16/3/19,Lunch Period,9607,SATURDAY,WEEKEND,0,3,Spring
251,17/3/19,PM Period,10733,SUNDAY,WEEKEND,0,3,Spring
729,17/3/19,Lunch Period,5593,SUNDAY,WEEKEND,0,3,Spring
1001,17/3/19,AM Period,4773,SUNDAY,WEEKEND,0,3,Spring
1302,17/3/19,Night,14203,SUNDAY,WEEKEND,0,3,Spring
380,18/3/19,Lunch Period,10484,MONDAY,WEEKDAY,0,3,Spring
622,18/3/19,PM Period,19243,MONDAY,WEEKDAY,0,3,Spring
673,18/3/19,Night,8164,MONDAY,WEEKDAY,0,3,Spring
1098,18/3/19,AM Period,12329,MONDAY,WEEKDAY,0,3,Spring
117,19/3/19,Lunch Period,10664,TUESDAY,WEEKDAY,0,3,Spring
576,19/3/19,PM Period,19892,TUESDAY,WEEKDAY,0,3,Spring
