"","X.1","X","ï..","trip_date","time_indicator","trips","Weekday","Holiday","Season","Day_of_Week","Month","taxi_id","Distance"
"187",187,187,725,"2019-02-16","AM Period",3800,"WEEKEND",0,"Winter","Sat","Feb",1178,25325.424
"188",188,188,728,"2019-02-16","Night",13725,"WEEKEND",0,"Winter","Sat","Feb",2002,53620.976
"189",189,189,422,"2019-02-17","Night",12597,"WEEKEND",0,"Winter","Sun","Feb",1848,67807.776
"190",190,190,436,"2019-02-17","AM Period",3967,"WEEKEND",0,"Winter","Sun","Feb",1179,26629.424
"191",191,191,1243,"2019-02-17","PM Period",9091,"WEEKEND",0,"Winter","Sun","Feb",2046,53514.464
"192",192,192,1417,"2019-02-17","Lunch Period",5062,"WEEKEND",0,"Winter","Sun","Feb",1380,27324.352
"193",193,193,269,"2019-02-18","AM Period",8032,"WEEKDAY",1,"Winter","Mon","Feb",1812,50777.184
"194",194,194,670,"2019-02-18","Night",8178,"WEEKDAY",1,"Winter","Mon","Feb",2072,78584.368
"195",195,195,677,"2019-02-18","PM Period",13612,"WEEKDAY",1,"Winter","Mon","Feb",2935,93980.464
"196",196,196,1002,"2019-02-18","Lunch Period",7547,"WEEKDAY",1,"Winter","Mon","Feb",2316,49428.016
"197",197,197,268,"2019-02-19","AM Period",12056,"WEEKDAY",0,"Winter","Tue","Feb",2329,61196.368
"198",198,198,824,"2019-02-19","PM Period",20057,"WEEKDAY",0,"Winter","Tue","Feb",3291,111913.744
"199",199,199,1058,"2019-02-19","Lunch Period",10393,"WEEKDAY",0,"Winter","Tue","Feb",2647,55384.448
"200",200,200,1159,"2019-02-19","Night",8215,"WEEKDAY",0,"Winter","Tue","Feb",2229,63514.304
"201",201,201,62,"2019-02-20","Night",9435,"WEEKDAY",0,"Winter","Wed","Feb",2302,67891.872
"202",202,202,517,"2019-02-20","PM Period",22255,"WEEKDAY",0,"Winter","Wed","Feb",3319,121709.328
"203",203,203,827,"2019-02-20","AM Period",12879,"WEEKDAY",0,"Winter","Wed","Feb",2163,50115.152
"204",204,204,1160,"2019-02-20","Lunch Period",11715,"WEEKDAY",0,"Winter","Wed","Feb",2687,55132.528
"205",205,205,996,"2019-02-21","Lunch Period",11736,"WEEKDAY",0,"Winter","Thu","Feb",2759,62807.84
"206",206,206,1155,"2019-02-21","AM Period",13076,"WEEKDAY",0,"Winter","Thu","Feb",2329,65121.664
"207",207,207,1246,"2019-02-21","PM Period",24166,"WEEKDAY",0,"Winter","Thu","Feb",3446,133667.104
"208",208,208,1304,"2019-02-21","Night",11977,"WEEKDAY",0,"Winter","Thu","Feb",2511,79871.328
"209",209,209,262,"2019-02-22","PM Period",24779,"WEEKDAY",0,"Winter","Fri","Feb",3445,121493.696
"210",210,210,266,"2019-02-22","AM Period",11937,"WEEKDAY",0,"Winter","Fri","Feb",2170,57534.944
"211",211,211,1350,"2019-02-22","Night",13262,"WEEKDAY",0,"Winter","Fri","Feb",2525,68830.016
"212",212,212,1357,"2019-02-22","Lunch Period",12031,"WEEKDAY",0,"Winter","Fri","Feb",2683,60958.688
"213",213,213,272,"2019-02-23","Lunch Period",7610,"WEEKEND",0,"Winter","Sat","Feb",1895,37301.104
"214",214,214,531,"2019-02-23","AM Period",5105,"WEEKEND",0,"Winter","Sat","Feb",1367,32366.784
"215",215,215,730,"2019-02-23","PM Period",14097,"WEEKEND",0,"Winter","Sat","Feb",2553,71524.512
"216",216,216,1311,"2019-02-23","Night",14411,"WEEKEND",0,"Winter","Sat","Feb",2012,58716.064
"217",217,217,253,"2019-02-24","PM Period",8955,"WEEKEND",0,"Winter","Sun","Feb",2245,75173.008
"218",218,218,256,"2019-02-24","Night",11760,"WEEKEND",0,"Winter","Sun","Feb",1983,72871.168
"219",219,219,662,"2019-02-24","Lunch Period",5241,"WEEKEND",0,"Winter","Sun","Feb",1643,39008.656
"220",220,220,1253,"2019-02-24","AM Period",4284,"WEEKEND",0,"Winter","Sun","Feb",1327,38458.048
"221",221,221,327,"2019-02-25","AM Period",12164,"WEEKDAY",0,"Winter","Mon","Feb",2432,67790.416
"222",222,222,892,"2019-02-25","Night",7446,"WEEKDAY",0,"Winter","Mon","Feb",2185,57256.384
"223",223,223,1151,"2019-02-25","PM Period",18904,"WEEKDAY",0,"Winter","Mon","Feb",3264,102188.592
"224",224,224,1423,"2019-02-25","Lunch Period",9962,"WEEKDAY",0,"Winter","Mon","Feb",2710,56875.328
"225",225,225,212,"2019-02-26","PM Period",21073,"WEEKDAY",0,"Winter","Tue","Feb",3306,106291.904
"226",226,226,265,"2019-02-26","AM Period",12194,"WEEKDAY",0,"Winter","Tue","Feb",2308,54052.992
"227",227,227,324,"2019-02-26","Lunch Period",10831,"WEEKDAY",0,"Winter","Tue","Feb",2593,51700.272
"228",228,228,580,"2019-02-26","Night",8760,"WEEKDAY",0,"Winter","Tue","Feb",2231,63488.576
"229",229,229,216,"2019-02-27","Night",9480,"WEEKDAY",0,"Winter","Wed","Feb",2298,65009.36
"230",230,230,828,"2019-02-27","Lunch Period",11313,"WEEKDAY",0,"Winter","Wed","Feb",2712,60800.288
"231",231,231,999,"2019-02-27","AM Period",12324,"WEEKDAY",0,"Winter","Wed","Feb",2320,58851.872
"232",232,232,1102,"2019-02-27","PM Period",22121,"WEEKDAY",0,"Winter","Wed","Feb",3415,122057.632
"233",233,233,325,"2019-02-28","PM Period",24311,"WEEKDAY",0,"Winter","Thu","Feb",3494,147019.552
"234",234,234,377,"2019-02-28","AM Period",12420,"WEEKDAY",0,"Winter","Thu","Feb",2274,59686.656
"235",235,235,523,"2019-02-28","Night",10595,"WEEKDAY",0,"Winter","Thu","Feb",2521,76505.792
"236",236,236,671,"2019-02-28","Lunch Period",12228,"WEEKDAY",0,"Winter","Thu","Feb",2851,67401.104
"237",237,237,54,"2019-03-01","Lunch Period",12578,"WEEKDAY",0,"Winter","Fri","Mar",2868,77286.352
"238",238,238,162,"2019-03-01","Night",11889,"WEEKDAY",0,"Winter","Fri","Mar",2542,71529.248
"239",239,239,373,"2019-03-01","PM Period",24266,"WEEKDAY",0,"Winter","Fri","Mar",3497,135654.48
"240",240,240,1411,"2019-03-01","AM Period",11445,"WEEKDAY",0,"Winter","Fri","Mar",2268,61168.368
