,dropoff_community_area,dropoff_ca,start_hour,cal_day_desc,average_speed,total_trips,avg_trips
338,22,LOGAN SQUARE,11,Weekdays,28.60223502,3007,25.92241379
339,3,UPTOWN,12,Weekend/Holidays,21.64980834,2324,20.03448276
340,16,IRVING PARK,7,Weekend/Holidays,26.37514203,398,3.431034483
341,3,UPTOWN,3,Weekend/Holidays,20.96186876,3747,32.30172414
342,8,NEAR NORTH SIDE,10,Weekend/Holidays,24.7055713,38475,331.6810345
343,42,WOODLAWN,21,Weekdays,32.75506077,491,4.232758621
344,24,WEST TOWN,6,Weekend/Holidays,33.27448697,1231,10.61206897
345,22,LOGAN SQUARE,7,Weekdays,24.07508472,1240,10.68965517
346,59,MCKINLEY PARK,12,Weekdays,20.39278624,1873,16.14655172
347,5,NORTH CENTER,11,Weekend/Holidays,28.24188228,817,7.043103448
348,4,LINCOLN SQUARE,0,Weekdays,24.67531018,2375,20.47413793
349,2,WEST RIDGE,15,Weekdays,18.06448004,3738,32.22413793
350,37,FULLER PARK,17,Weekdays,19.16996734,250,2.155172414
351,6,LAKE VIEW,15,Weekend/Holidays,23.81193354,8527,73.50862069
352,6,LAKE VIEW,11,Weekend/Holidays,24.70269504,7329,63.18103448
353,16,IRVING PARK,16,Weekdays,18.14889093,2894,24.94827586
354,34,ARMOUR SQUARE,8,Weekend/Holidays,45.48371252,224,1.931034483
355,73,WASHINGTON HEIGHTS,14,Weekdays,27.75066134,299,2.577586207
356,76,OHARE,9,Weekend/Holidays,51.07533205,7343,63.30172414
357,42,WOODLAWN,23,Weekdays,25.713199,228,1.965517241
358,42,WOODLAWN,15,Weekdays,24.59641368,1177,10.14655172
359,2,WEST RIDGE,11,Weekdays,21.51727256,2728,23.51724138
360,7,LINCOLN PARK,6,Weekdays,28.60700102,2041,17.59482759
361,32,LOOP,18,Weekend/Holidays,20.4844448,39804,343.137931
