,date,median_downtime,company,day,weekday,time_bin,month,season,holiday,fare,num_cabs,trips_per_cab,earnings_per_cab
147,2019-02-06,15.0,Blue Ribbon Taxi Association Inc.,2,1,4,2,Winter,0,12.455338809034908,102,4.7745098039215685,59.46813725490196
148,2019-02-07,15.0,Blue Ribbon Taxi Association Inc.,3,1,1,2,Winter,0,10.688214285714285,81,5.185185185185185,55.42037037037037
149,2019-02-07,15.0,Blue Ribbon Taxi Association Inc.,3,1,2,2,Winter,0,9.382075471698114,80,4.6375,43.509375
150,2019-02-07,15.0,Blue Ribbon Taxi Association Inc.,3,1,3,2,Winter,0,12.452184873949582,127,6.559055118110236,81.67456692913386
151,2019-02-07,15.0,Blue Ribbon Taxi Association Inc.,3,1,4,2,Winter,0,13.395229982964224,112,5.241071428571429,70.20535714285714
152,2019-02-08,15.0,Blue Ribbon Taxi Association Inc.,4,1,1,2,Winter,0,11.306069651741291,74,5.4324324324324325,61.41945945945946
153,2019-02-08,15.0,Blue Ribbon Taxi Association Inc.,4,1,2,2,Winter,0,10.154844868735085,91,4.604395604395604,46.75692307692308
154,2019-02-08,15.0,Blue Ribbon Taxi Association Inc.,4,1,3,2,Winter,0,10.518051391862956,126,7.412698412698413,77.96714285714286
155,2019-02-08,15.0,Blue Ribbon Taxi Association Inc.,4,1,4,2,Winter,0,11.65891472868217,111,4.648648648648648,54.1981981981982
156,2019-02-09,30.0,Blue Ribbon Taxi Association Inc.,5,0,1,2,Winter,0,13.395220588235293,48,2.8333333333333335,37.953125
157,2019-02-09,30.0,Blue Ribbon Taxi Association Inc.,5,0,2,2,Winter,0,10.592511013215859,62,3.661290322580645,38.78225806451613
158,2019-02-09,30.0,Blue Ribbon Taxi Association Inc.,5,0,3,2,Winter,0,10.227450980392156,100,5.1,52.16
159,2019-02-09,15.0,Blue Ribbon Taxi Association Inc.,5,0,4,2,Winter,0,10.08214849921011,101,6.267326732673268,63.18811881188119
160,2019-02-10,30.0,Blue Ribbon Taxi Association Inc.,6,0,1,2,Winter,0,13.782374100719425,46,3.0217391304347827,41.64673913043478
161,2019-02-10,45.0,Blue Ribbon Taxi Association Inc.,6,0,2,2,Winter,0,13.830645161290322,58,2.6724137931034484,36.96120689655172
162,2019-02-10,30.0,Blue Ribbon Taxi Association Inc.,6,0,3,2,Winter,0,12.418810289389068,79,3.9367088607594938,48.889240506329116
163,2019-02-10,15.0,Blue Ribbon Taxi Association Inc.,6,0,4,2,Winter,0,11.841542750929367,77,6.987012987012987,82.73701298701299
164,2019-02-11,15.0,Blue Ribbon Taxi Association Inc.,0,1,1,2,Winter,0,12.02158357771261,76,4.4868421052631575,53.93894736842105
165,2019-02-11,30.0,Blue Ribbon Taxi Association Inc.,0,1,2,2,Winter,0,11.425448504983388,87,3.4597701149425286,39.52942528735632
166,2019-02-11,15.0,Blue Ribbon Taxi Association Inc.,0,1,3,2,Winter,0,10.678172185430466,117,6.452991452991453,68.90615384615386
167,2019-02-11,15.0,Blue Ribbon Taxi Association Inc.,0,1,4,2,Winter,0,12.032725321888412,98,4.755102040816326,57.21683673469388
168,2019-02-12,15.0,Blue Ribbon Taxi Association Inc.,1,1,1,2,Winter,1,10.220204081632652,75,5.88,60.094800000000006
169,2019-02-12,15.0,Blue Ribbon Taxi Association Inc.,1,1,2,2,Winter,1,9.252054794520548,86,4.244186046511628,39.26744186046512
170,2019-02-12,15.0,Blue Ribbon Taxi Association Inc.,1,1,3,2,Winter,1,10.958599766627772,115,7.452173913043478,81.66539130434784
171,2019-02-12,15.0,Blue Ribbon Taxi Association Inc.,1,1,4,2,Winter,1,12.88214990138067,103,4.922330097087379,63.41019417475728
172,2019-02-13,15.0,Blue Ribbon Taxi Association Inc.,2,1,1,2,Winter,0,10.482903930131005,82,5.585365853658536,58.55085365853659
173,2019-02-13,15.0,Blue Ribbon Taxi Association Inc.,2,1,2,2,Winter,0,9.083874458874458,88,5.25,47.69034090909091
174,2019-02-13,15.0,Blue Ribbon Taxi Association Inc.,2,1,3,2,Winter,0,10.271550925925924,113,7.646017699115045,78.53646017699114
175,2019-02-13,15.0,Blue Ribbon Taxi Association Inc.,2,1,4,2,Winter,0,11.597087378640778,104,4.951923076923077,57.42788461538461
176,2019-02-14,15.0,Blue Ribbon Taxi Association Inc.,3,1,1,2,Winter,0,10.204520202020202,82,4.829268292682927,49.28036585365854
177,2019-02-14,15.0,Blue Ribbon Taxi Association Inc.,3,1,2,2,Winter,0,9.177190721649485,90,4.311111111111111,39.56388888888889
178,2019-02-14,15.0,Blue Ribbon Taxi Association Inc.,3,1,3,2,Winter,0,11.117735229759301,127,7.196850393700787,80.01267716535433
179,2019-02-14,15.0,Blue Ribbon Taxi Association Inc.,3,1,4,2,Winter,0,13.630826271186441,105,4.495238095238095,61.273809523809526
180,2019-02-15,15.0,Blue Ribbon Taxi Association Inc.,4,1,1,2,Winter,0,10.68194103194103,82,4.963414634146342,53.018902439024394
181,2019-02-15,15.0,Blue Ribbon Taxi Association Inc.,4,1,2,2,Winter,0,11.085829493087557,105,4.133333333333334,45.82142857142857
182,2019-02-15,15.0,Blue Ribbon Taxi Association Inc.,4,1,3,2,Winter,0,10.618346111719607,126,7.246031746031746,76.94087301587301
183,2019-02-15,15.0,Blue Ribbon Taxi Association Inc.,4,1,4,2,Winter,0,10.684560327198364,107,4.570093457943925,48.82943925233645
184,2019-02-16,30.0,Blue Ribbon Taxi Association Inc.,5,0,1,2,Winter,0,11.005172413793103,51,2.843137254901961,31.28921568627451
185,2019-02-16,30.0,Blue Ribbon Taxi Association Inc.,5,0,2,2,Winter,0,12.413934426229508,70,3.4857142857142858,43.27142857142857
186,2019-02-16,15.0,Blue Ribbon Taxi Association Inc.,5,0,3,2,Winter,0,10.113597972972974,107,5.5327102803738315,55.955607476635514
187,2019-02-16,15.0,Blue Ribbon Taxi Association Inc.,5,0,4,2,Winter,0,9.676093514328809,92,7.206521739130435,69.73097826086956
188,2019-02-17,30.0,Blue Ribbon Taxi Association Inc.,6,0,1,2,Winter,0,11.855263157894736,47,2.8297872340425534,33.547872340425535
189,2019-02-17,15.0,Blue Ribbon Taxi Association Inc.,6,0,2,2,Winter,0,10.168781725888325,50,3.94,40.065
190,2019-02-17,30.0,Blue Ribbon Taxi Association Inc.,6,0,3,2,Winter,0,10.585240274599542,88,4.965909090909091,52.56534090909091
