,date,median_downtime,company,weekday,season,holiday,fare,num_cabs,trips_per_cab,earnings_per_cab,distance
28,29/1/2019,90,Blue Ribbon Taxi Association Inc.,1,Winter,0,20.86267606,68,5.220588235,108.9154412,0.993802817
29,30/1/2019,112.5,Blue Ribbon Taxi Association Inc.,1,Winter,0,22.91373239,38,3.736842105,85.625,1.506478873
30,31/1/2019,90,Blue Ribbon Taxi Association Inc.,1,Winter,0,20.26348921,63,4.412698413,89.41666667,1.023309353
31,1/2/2019,60,Blue Ribbon Taxi Association Inc.,1,Winter,0,20.6104119,73,5.98630137,123.380137,0.897391304
32,2/2/2019,75,Blue Ribbon Taxi Association Inc.,0,Winter,0,16.46708464,63,5.063492063,83.38095238,0.805517241
33,3/2/2019,75,Blue Ribbon Taxi Association Inc.,0,Winter,0,18.34326019,60,5.316666667,97.525,1.062821317
34,4/2/2019,75,Blue Ribbon Taxi Association Inc.,1,Winter,0,20.14213198,70,5.628571429,113.3714286,0.817055838
35,5/2/2019,75,Blue Ribbon Taxi Association Inc.,1,Winter,0,18.54736842,71,5.352112676,99.26760563,1.043789474
36,6/2/2019,75,Blue Ribbon Taxi Association Inc.,1,Winter,0,18.95220588,77,6.181818182,117.1590909,0.875294118
37,7/2/2019,60,Blue Ribbon Taxi Association Inc.,1,Winter,0,21.29872047,77,6.597402597,140.5162338,1.060472441
38,8/2/2019,75,Blue Ribbon Taxi Association Inc.,1,Winter,0,19.46530837,74,6.135135135,119.4222973,0.950484581
39,9/2/2019,60,Blue Ribbon Taxi Association Inc.,0,Winter,0,16.65086207,70,4.971428571,82.77857143,1.013333333
40,10/2/2019,75,Blue Ribbon Taxi Association Inc.,0,Winter,0,19.96346705,62,5.629032258,112.375,1.370773639
41,11/2/2019,75,Blue Ribbon Taxi Association Inc.,1,Winter,0,21.11553525,74,5.175675676,109.2871622,1.099947781
42,12/2/2019,60,Blue Ribbon Taxi Association Inc.,1,Winter,1,17.76293103,77,6.025974026,107.038961,0.774137931
43,13/2/2019,60,Blue Ribbon Taxi Association Inc.,1,Winter,0,18.17264574,72,6.194444444,112.5694444,0.786008969
44,14/2/2019,60,Blue Ribbon Taxi Association Inc.,1,Winter,0,19.92897727,71,6.197183099,123.5035211,0.740727273
45,15/2/2019,75,Blue Ribbon Taxi Association Inc.,1,Winter,0,18.16335541,76,5.960526316,108.2631579,0.831434879
46,16/2/2019,60,Blue Ribbon Taxi Association Inc.,0,Winter,0,16.33157895,69,5.507246377,89.94202899,0.605052632
47,17/2/2019,60,Blue Ribbon Taxi Association Inc.,0,Winter,0,17.235,60,5.833333333,100.5375,0.913371429
48,18/2/2019,75,Blue Ribbon Taxi Association Inc.,1,Winter,1,21.62405063,73,5.410958904,117.0068493,1.135392405
49,19/2/2019,90,Blue Ribbon Taxi Association Inc.,1,Winter,0,20.96742021,76,4.947368421,103.7335526,1.102553191
50,20/2/2019,60,Blue Ribbon Taxi Association Inc.,1,Winter,0,19.92267442,74,5.810810811,115.7668919,0.82827907
51,21/2/2019,45,Blue Ribbon Taxi Association Inc.,1,Winter,0,19.2177264,74,7.013513514,134.7837838,0.90327553
52,22/2/2019,60,Blue Ribbon Taxi Association Inc.,1,Winter,0,19.05821206,75,6.413333333,122.2266667,0.812640333
53,23/2/2019,75,Blue Ribbon Taxi Association Inc.,0,Winter,0,18.85026738,70,5.342857143,100.7142857,0.689625668
54,24/2/2019,75,Blue Ribbon Taxi Association Inc.,0,Winter,0,22.3890785,62,4.725806452,105.8064516,1.353720137
55,25/2/2019,90,Blue Ribbon Taxi Association Inc.,1,Winter,0,20.4761236,71,5.014084507,102.6690141,1.484494382
56,26/2/2019,90,Blue Ribbon Taxi Association Inc.,1,Winter,0,21.0824937,75,5.293333333,111.5966667,0.944282116
57,27/2/2019,60,Blue Ribbon Taxi Association Inc.,1,Winter,0,20.50166667,77,5.844155844,119.8149351,0.920888889
58,28/2/2019,60,Blue Ribbon Taxi Association Inc.,1,Winter,0,22.77888889,79,5.696202532,129.7531646,1.042844444
59,1/3/2019,60,Blue Ribbon Taxi Association Inc.,1,Winter,0,21.1046627,78,6.461538462,136.3685897,0.923174603
60,2/3/2019,75,Blue Ribbon Taxi Association Inc.,0,Winter,0,18.47578692,72,5.736111111,105.9791667,0.706246973
61,3/3/2019,60,Blue Ribbon Taxi Association Inc.,0,Winter,0,20.41301843,68,6.382352941,130.2830882,0.760921659
62,4/3/2019,60,Blue Ribbon Taxi Association Inc.,1,Winter,1,21.23807054,79,6.101265823,129.5791139,1.21560166
63,5/3/2019,60,Blue Ribbon Taxi Association Inc.,1,Winter,0,21.63709677,75,6.2,134.15,0.875354839
64,6/3/2019,82.5,Blue Ribbon Taxi Association Inc.,1,Winter,0,21.90494792,75,5.12,112.1533333,1.080833333
65,7/3/2019,60,Blue Ribbon Taxi Association Inc.,1,Winter,0,21.87672811,77,5.636363636,123.3051948,1.136221198
66,8/3/2019,75,Blue Ribbon Taxi Association Inc.,1,Winter,0,21.33353659,78,5.256410256,112.1378205,0.921365854
67,9/3/2019,75,Blue Ribbon Taxi Association Inc.,0,Winter,0,17.12076923,67,4.850746269,83.04850746,0.608492308
68,10/3/2019,90,Blue Ribbon Taxi Association Inc.,0,Winter,0,22.49924012,67,4.910447761,110.4813433,0.834528875
69,11/3/2019,75,Blue Ribbon Taxi Association Inc.,1,Winter,0,20.01273458,75,4.973333333,99.53,0.926970509
70,12/3/2019,75,Blue Ribbon Taxi Association Inc.,1,Winter,0,20.12654321,77,5.25974026,105.8603896,0.765234568
71,13/3/2019,75,Blue Ribbon Taxi Association Inc.,1,Winter,0,19.73407643,80,5.8875,116.184375,0.71881104
72,14/3/2019,60,Blue Ribbon Taxi Association Inc.,1,Winter,0,21.716,82,6.097560976,132.4146341,1.00832
73,15/3/2019,60,Blue Ribbon Taxi Association Inc.,1,Winter,0,22.07834331,78,6.423076923,141.8108974,0.983313373
74,16/3/2019,30,Blue Ribbon Taxi Association Inc.,0,Winter,0,16.53708333,76,7.894736842,130.5559211,0.6768
75,17/3/2019,60,Blue Ribbon Taxi Association Inc.,0,Winter,0,19.68703704,72,5.625,110.7395833,0.745481481
